Institute Name,Library Name,Library Phone,Library Email,Technical Name,Technical Phone,Technical Email
"ABMSPs Shri Shahu Mandir Mahavidyalaya of Arts and Commerce, Pune",,,,,,
"A B N Seal College, Coochbehar",,,,,,
"ABV Government Degree College, Jangaon",,,,,,
"ABV Indian Institute of Information Technology & Management, Gwalior",,,,,,
Acharya Nagarjuna University,,,,,,
Acharya Narender Dev College,,,,,,
"Acharya NG Ranga Agricultural University, Guntur",,,,,,
ACSR Government Medical College,,,,,,
"Adarsh College, Rajdhanwar",,,,,,
"Adikavi Nannaya University, Rajahmundry",,,,,,
Administrative Staff College of India,,,,,,
A D P College,,,,,,
Advanced Data Processing Research Institute,,,,,,
Advanced Systems Laboratory,,,,,,
Aerial Delivery Research and Development Establishment,,,,,,
Aeronautical Development Establishment,,,,,,
Agarkar Research Institute,,,,,,
"Alagappa Chettiar College of Engineering & Technology, Karaikudi",,,,,,
Alagappa University,,,,,,
"Aliah University, Kolkata",,,,,,
Aligarh Muslim University,,,,,,
"Ali Yavar Jung National Institute of the Hearing  Handicapped, Mumbai",,,,,,
All India Institute of Ayurveda,,,,,,
"All India Institute of Medical Sciences (AIIMS), Bhatinda",,,,,,
"All India Institute of Medical Sciences (AIIMS), Bhopal",,,,,,
"All India Institute of Medical Sciences (AIIMS), Bhubaneswar",,,,,,
"All India Institute of Medical Sciences (AIIMS), Bibinagar",,,,,,
"All India Institute of Medical Sciences (AIIMS), Bilaspur",,,,,,
"All India Institute of Medical Sciences (AIIMS), Delhi",,,,,,
"All India Institute of Medical Sciences (AIIMS), Deoghar",,,,,,
"All India Institute of Medical Sciences (AIIMS), Guwahati",,,,,,
"All India Institute of Medical Sciences (AIIMS), Jammu",,,,,,
"All India Institute of Medical Sciences (AIIMS), Jodhpur",,,,,,
"All India Institute of Medical Sciences (AIIMS), Kalyani",,,,,,
"All India Institute of Medical Sciences (AIIMS), Madurai",,,,,,
"All India Institute of Medical Sciences (AIIMS), Mangalagiri",,,,,,
"All India Institute of Medical Sciences (AIIMS), Nagpur",,,,,,
"All India Institute of Medical Sciences (AIIMS), Patna",,,,,,
"All India Institute of Medical Sciences (AIIMS), Raebareli",,,,,,
"All India Institute of Medical Sciences (AIIMS), Raipur",,,,,,
"All India Institute of Medical Sciences (AIIMS), Rajkot",,,,,,
"All India Institute of Medical Sciences (AIIMS), Rishikesh",,,,,,
"All India Institute of Physical Medicine & Rehabilitation, Mumbai",,,,,,
"All India Institute of Speech and Hearing, Manasagangothri, Mysore",,,,,,
"All Saint`s College, Thiruvananthapuram",,,,,,
Ambedkar College,,,,,,
"Ambedkar University, Delhi",,,,,,
A.M.P. LAW COLLEGE-RAJKOT,,,,,,
"Anand Law College, Anand",,,,,,
A N D College,,,,,,
Andhra University,,,,,,
Andhra University College of Engineering,,,,,,
Annamalai University,,,,,,
Anna University,,,,,,
"A N S College, Barh",,,,,,
A P Government Institute of Leather Technology,,,,,,
"Aryabhatta Knoweledge University, Patna",,,,,,
Asansol Girls' College,,,,,,
"A.S. College, Bikramganj",,,,,,
"A. S. College, Srinagar",,,,,,
A.S.N.M. Govt. Degree College for Men,,,,,,
Assam Medical College P.O. Dibrugarh- 786003,,,,,,
Assam Rajiv Gandhi University of Cooperative Management,,,,,,
Assam Science and Technology University,,,,,,
Assam University,,,,,,
Assam Women's University,,,,,,
Atal Bihari Vajpayee Institute of Medical Sciences & Dr. Ram Manohar Lohia Hospital,,,,,,
Atal Bihari Vajpayee Medical University,,,,,,
Atal Bihari Vajpayee Vishwavidyalaya,,,,,,
Atomic Minerals Directorate for Exploration and Research,,,,,,
Avinashilingam Institute for Home Science and Higher Education Women,,,,,,
Awadhesh Pratap Singh University,,,,,,
Ayurvedic & Unani Tibbia College,,,,,,
"B205 Govt First Grade Degree College,Bidar",,,,,,
"Baba Farid University of Health & Medical Sciences, Faridkot",,,,,,
Baba Ghulam Shah Badshah University,,,,,,
"Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur",,,,,,
Babasaheb Bhimrao Ambedkar University,,,,,,
"Bahera College, Bahera",,,,,,
Bahona College P.O. Bahona,,,,,,
"Bahuddin Govt. Science College, Junagadh",,,,,,
Balagarh B.K. Mahavidyalaya,,,,,,
Balarampur College,,,,,,
Bamanpukur Humayun Kabir Mahavidyalaya,,,,,,
Banaras Hindu University,,,,,,
"Banda University of Agriculture and Technology, Banda",,,,,,
Bangalore University,,,,,,
"Bankura University, Bankura",,,,,,
Bant Achalika College,,,,,,
Baosi Banikanta Kakoti College,,,,,,
Barbhag College,,,,,,
Barkatullah University,,,,,,
Barpeta Road Howli College,,,,,,
B.B. Kishan College,,,,,,
B Borooah College,,,,,,
Belgaum Institute of Medical Sciences,,,,,,
Bengaluru Dr.B.R. Ambedkar School of Economics University,,,,,,
"Bengaluru North University, Kolar",,,,,,
Berhampur University,,,,,,
"Bhabha Atomic Research Centre (BARC), Mumbai",,,,,,
Bhagalpur College of Engineering,,,,,,
Bhagat Phool Singh Mahila Vishwavidyalaya,,,,,,
Bhagini Nivedita College,,,,,,
Bhai Parmanand Institute of Business Studies,,,,,,
Bhakta Kavi Narsinh Mehta University,,,,,,
Bharathiar University,,,,,,
Bharathidasan University,,,,,,
"Bhattadev University, Bajali",,,,,,
Bhatter College,,,,,,
Bhawanipur Anchalik College,,,,,,
"Bhupendra Narayan Mandal University, Madhepura",,,,,,
Bidhan Chandra College,,,,,,
"Bidhan Chandra Krishi Vishwavidyalaya , Nadia",,,,,,
"Bihar Agriculture University, Sabour",,,,,,
Bihar Animal Sciences University,,,,,,
Bihpuria College P.O. Bihpuria-784164,,,,,,
Bijni College,,,,,,
"Biju Patnaik Homeopathy Medical College & Hospital, Berhampur",,,,,,
Bikali College,,,,,,
Binandi Chandra Medhi College,,,,,,
Bineswar Brahma Engineering College,,,,,,
Binod Bihari Mahto Koyalanchal University,,,,,,
"Bipin Tripathi Kumaon Institute of Technology , Dwarahat",,,,,,
Birangana Sati Sadhani Rajyik Vishwavidyalaya,,,,,,
Bir Bikram Memorial College,,,,,,
Biswa Bangla Biswabidyalay,,,,,,
"B I T Sindri, Dhanbad",,,,,,
BJR Govt. Degree College,,,,,,
"B.K.MODI GOVERMENT PHARMACY COLLEGE, RAJKOT 212",,,,,,
"B. K. Mody Govt.Pharmacy College (Diploma), Rajkot 403",,,,,,
B.L.B. College Sibsagar,,,,,,
"BNM College, Barhaiya",,,,,,
Bodoland University,,,,,,
Bongaigaon College,,,,,,
Bordoloni Central College,,,,,,
"B P Mandal College of Engineering, Madhepura",,,,,,
"B R Mirdha Government College, Nagour",,,,,,
"B.S.College, Danapur",,,,,,
"Bundelkhand Institute of Engineering & Technology, Jhansi",,,,,,
Bundelkhand University,,,,,,
C325 Govt First Grade College Shahapur,,,,,,
C429 Govt  F G College Aland,,,,,,
Cachar College,,,,,,
"Calcutta National Medical College Hospital, Kolkatta",,,,,,
Calcutta University,,,,,,
"Capital Law College, Bhubaneswar",,,,,,
"C - DAC, NOIDA",,,,,,
"Central Building Research Institute, Roorkee",,,,,,
Central Council for Research in Ayurvedic Sciences,,,,,,
Central Council for Research In Homoeopathy (CCRH),,,,,,
Central Council for Research in Unani Medicine (CCRUM),,,,,,
Central Drug Research Institute,,,,,,
Central Electrochemical Research Institute,,,,,,
Central Electronics Enginnering Research Institute,,,,,,
"Central Food Technological Research Institute, Mysore",,,,,,
Central Glass and Ceramic Research Institute,,,,,,
"Central Institue Of Plastics Engg. & Tech., Ahmedabad",,,,,,
"Central Institute of Fisheries Education, Fishries University, Mumbai",,,,,,
"Central Institute of Indian Languages, Manasagangotri, Mysore",,,,,,
Central Institute of Medicinal and Aromatic Plants,,,,,,
"Central Institute of Petrochemicals Engineering and Technology (CIPET), Gwalior",,,,,,
Central Institute of Petrochemicals Engineering & Technology,,,,,,
"Central Institute of Petrochemicals Engineering & Technology (CIPET), Bhopal",,,,,,
"Central Institute of Petrochemicals Engineering & Technology (CIPET), Jaipur",,,,,,
"Central Institute of Petrochemicals Engineering & Technology (CIPET), Korba",,,,,,
"Central Institute of Petrochemicals Engineering & Technology (CIPET), Purba Medinipur",,,,,,
"Central Institute of Petrochemicals Engineering & Technology (CIPET), Ranchi (Id: S-19061)",,,,,,
"Central Institute of Petrochemicals Engineering & Technology: Institute of Petrochemicals Technology ( CIPET: IPT), Bhubaneswar",,,,,,
"Central Institute of Plastics Engineering and Technology, Kamrup",,,,,,
"Central Institute of Plastics Engineering and Technology, Sonepat",,,,,,
Central Institute Of Plastics Engineering & Technology Hyderabad,,,,,,
Central Institute of Plastics Engineering & Technology Vaishali,,,,,,
